iter	Passed	Remaining
939	3522	224
940	3525	221
941	3528	217
942	3531	213
943	3534	209
944	3538	205
945	3541	202
946	3544	198
947	3547	194
948	3551	190
949	3554	187
950	3558	183
951	3561	179
952	3564	175
953	3567	172
954	3571	168
955	3574	164
956	3578	160
957	3585	157
958	3590	153
959	3594	149
960	3597	146
961	3601	142
962	3605	138
963	3609	134
964	3612	131
965	3619	127
966	3624	123
967	3631	120
968	3636	116
969	3645	112
970	3652	109
971	3658	105
972	3664	101
973	3668	97
974	3672	94
975	3677	90
976	3682	86
977	3686	82
978	3690	79
979	3694	75
980	3699	71
981	3703	67
982	3708	64
983	3712	60
984	3718	56
985	3724	52
986	3731	49
987	3737	45
988	3740	41
989	3745	37
990	3748	34
991	3752	30
992	3756	26
993	3759	22
994	3763	18
995	3767	15
996	3772	11
997	3776	7
998	3782	3
999	3787	0
